fecha,clae2,mujer,p10,p25,w_mean,w_median,p75,p90,p99
2007-02-01,77,0,648,1091,2018,1536,2485,3657,8652
2007-02-01,77,1,558,724,1434,1216,1676,2364,6608
2007-02-01,78,0,251,702,1292,1156,1611,2172,4590
2007-02-01,78,1,164,497,1098,983,1422,1987,4622
2007-02-01,79,0,610,1028,1821,1327,2052,3272,9081
2007-02-01,79,1,604,1010,1616,1272,1839,2755,6585
2007-02-01,80,0,670,929,1246,1070,1302,1792,4342
2007-02-01,80,1,522,880,1223,1058,1318,1925,4014
2007-02-01,81,0,412,627,966,940,1126,1427,2925
2007-02-01,81,1,352,481,741,667,979,1139,1861
2007-02-01,82,0,404,803,1936,1212,1800,3014,10000
2007-02-01,82,1,392,747,1415,1070,1477,2249,8107
2007-02-01,85,0,149,317,1029,714,1290,2124,5548
2007-02-01,85,1,205,460,1025,901,1316,1959,3715
2007-02-01,86,0,725,1169,1950,1594,2228,3194,8372
2007-02-01,86,1,684,1101,1638,1504,1982,2579,4665
2007-02-01,87,0,623,985,1446,1319,1639,2224,5033
2007-02-01,87,1,618,1011,1288,1269,1507,1806,2892
2007-02-01,88,0,447,681,1219,1152,1430,2062,4320
2007-02-01,88,1,428,678,1172,1091,1424,1941,3853
2007-02-01,90,0,161,550,1301,1076,1538,2194,7900
2007-02-01,90,1,304,636,1210,1074,1433,2069,5040
2007-02-01,91,0,491,891,1557,1232,1741,2636,8009
2007-02-01,91,1,412,680,1227,1063,1452,2040,5332
2007-02-01,92,0,768,1152,2104,1545,2222,3989,8800
2007-02-01,92,1,611,947,1611,1310,1782,2609,6539
2007-02-01,93,0,288,647,1457,1199,1740,2537,7800
2007-02-01,93,1,280,554,1093,941,1430,1963,4011
2007-02-01,94,0,574,1055,1817,1524,2137,3063,7443
2007-02-01,94,1,427,771,1411,1247,1766,2458,5010
2007-02-01,95,0,562,762,1436,1179,1412,1960,7909
2007-02-01,95,1,531,636,1223,1093,1306,1627,6607
2007-02-01,96,0,391,608,1101,963,1279,1700,4800
2007-02-01,96,1,400,586,943,841,1173,1430,3000
2007-02-01,999,0,549,898,1612,1177,1810,3122,7499
2007-02-01,999,1,582,860,1839,1273,2418,3530,9016
2007-03-01,1,0,304,649,1036,895,1176,1665,4100
2007-03-01,1,1,240,471,1086,880,1305,2138,4181
2007-03-01,2,0,279,500,918,808,1080,1499,3590
2007-03-01,2,1,290,563,1041,902,1242,1839,3751
2007-03-01,3,0,750,1462,4755,3000,7687,10000,20296
2007-03-01,3,1,962,1385,2187,1878,2401,3549,9606
2007-03-01,5,0,1418,1972,3065,2903,3860,4799,8178
2007-03-01,5,1,1278,1620,2491,2438,3283,3966,4767
2007-03-01,6,0,4218,6187,16545,10096,17101,31178,113720
2007-03-01,6,1,2430,4500,11766,8657,13996,22782,62645
2007-03-01,7,0,1284,1769,4054,2942,4288,8277,18757
2007-03-01,7,1,1109,1743,3709,2600,4167,9355,14784
2007-03-01,8,0,738,1062,2385,1524,2476,4392,11177
2007-03-01,8,1,589,1042,2291,1469,2357,4090,10695
2007-03-01,9,0,1284,2515,4557,3779,5277,7768,18346
2007-03-01,9,1,758,1423,3357,2296,3614,6012,17765
2007-03-01,10,0,759,1135,2178,1571,2345,3454,10000
2007-03-01,10,1,508,876,1587,1278,1790,2552,6907
2007-03-01,11,0,700,1226,2721,1883,2886,4214,17078
2007-03-01,11,1,422,875,2354,1548,2440,4024,14500
2007-03-01,12,0,929,1298,4106,2197,4113,6287,35487
2007-03-01,12,1,698,1029,2824,1253,1834,4667,34255
2007-03-01,13,0,931,1173,1756,1451,1925,2708,6754
2007-03-01,13,1,728,1018,1385,1230,1517,2021,4606
2007-03-01,14,0,660,933,1335,1177,1465,1942,5000
2007-03-01,14,1,608,904,1209,1170,1374,1675,3327
2007-03-01,15,0,773,1105,1676,1393,1815,2390,6707
2007-03-01,15,1,671,991,1403,1250,1535,1986,4377
2007-03-01,16,0,541,840,1273,1128,1400,1837,4804
2007-03-01,16,1,549,857,1365,1185,1511,2038,6448
2007-03-01,17,0,957,1312,2650,1930,2818,4025,15327
2007-03-01,17,1,722,1055,2190,1414,2201,3466,14417
2007-03-01,18,0,766,1147,1982,1545,2240,3360,8000
2007-03-01,18,1,586,953,1566,1299,1830,2649,6372
2007-03-01,19,0,1317,1559,7066,2726,5351,12128,81637
2007-03-01,19,1,1257,1365,4737,1574,3014,8127,57513
2007-03-01,20,0,1110,1438,3857,2233,3850,7176,25227
2007-03-01,20,1,750,1217,2793,1673,2813,5493,16394
2007-03-01,21,0,1400,2035,4823,3122,5797,9500,19681
2007-03-01,21,1,1210,1613,3040,2281,3259,5138,11647
2007-03-01,22,0,1008,1292,2142,1669,2330,3359,8664
2007-03-01,22,1,711,1136,1688,1424,1908,2634,6140
2007-03-01,23,0,888,1212,2165,1649,2412,3500,10000
2007-03-01,23,1,691,1092,1842,1370,2108,3282,7882
2007-03-01,24,0,1047,1486,3213,2543,3776,5199,13090
2007-03-01,24,1,862,1230,3009,2142,3566,5068,11661
2007-03-01,25,0,774,1034,1671,1358,1893,2699,6361
2007-03-01,25,1,598,979,1498,1248,1722,2471,5637
2007-03-01,26,0,968,1207,2554,1674,2694,4133,10731
2007-03-01,26,1,856,1170,2021,1584,2553,3560,7654
2007-03-01,27,0,928,1159,2160,1552,2274,3405,10000
2007-03-01,27,1,771,1044,1665,1330,1835,2607,7338
2007-03-01,28,0,953,1185,2117,1639,2394,3559,9399
2007-03-01,28,1,649,1019,1775,1404,2067,3060,7326
2007-03-01,29,0,1178,1572,2927,2347,3610,5024,10000
2007-03-01,29,1,950,1308,2332,1833,2840,4040,8792
2007-03-01,30,0,742,1200,2448,2125,2897,3909,10784
2007-03-01,30,1,704,1188,2482,1905,2908,4915,10000
2007-03-01,31,0,684,1015,1443,1233,1559,2092,5520
2007-03-01,31,1,599,1005,1553,1228,1603,2186,5652
2007-03-01,32,0,754,1070,1666,1346,1837,2719,7050
2007-03-01,32,1,594,931,1377,1191,1553,2104,5256
2007-03-01,33,0,618,1004,2112,1405,2348,4008,10000
2007-03-01,33,1,583,841,1803,1199,2070,3197,11511
2007-03-01,35,0,1467,2155,5132,3322,5896,9127,28100
2007-03-01,35,1,1003,1595,3759,2468,4098,7308,21852
2007-03-01,36,0,1261,1681,3382,2618,4203,5383,9504
2007-03-01,36,1,1087,1563,3220,2355,4003,5264,9297
2007-03-01,37,0,894,1157,1843,1621,2200,2917,6314
2007-03-01,37,1,568,1146,1682,1553,2051,2967,4397
2007-03-01,38,0,1054,1511,2328,2226,2788,3573,6718
2007-03-01,38,1,482,887,2087,1513,2743,3828,8282
2007-03-01,39,0,474,802,1917,1356,1801,2660,8770
2007-03-01,39,1,573,705,1466,1149,1690,2270,7346
2007-03-01,41,0,394,711,1158,1054,1409,1842,3829
2007-03-01,41,1,570,807,1367,1220,1576,2252,5093
2007-03-01,42,0,631,1048,1905,1489,2246,3369,8444
2007-03-01,42,1,620,1067,1795,1500,2131,3009,7781
2007-03-01,43,0,474,798,1433,1177,1640,2539,5690
2007-03-01,43,1,481,697,1388,1171,1540,2347,5739
2007-03-01,45,0,692,1140,1731,1343,1885,2720,8000
2007-03-01,45,1,588,992,1501,1270,1744,2457,5806
2007-03-01,46,0,593,1083,1981,1288,1836,3171,11567
2007-03-01,46,1,588,938,1771,1240,1708,2894,10227
2007-03-01,47,0,608,1032,1474,1242,1537,2102,5843
2007-03-01,47,1,581,729,1212,1183,1406,1788,3797
2007-03-01,49,0,824,1282,2207,2078,2844,3566,6050
2007-03-01,49,1,537,852,1612,1310,2027,2820,5815
2007-03-01,50,0,1180,1871,4247,3400,5468,8870,15989
2007-03-01,50,1,919,1277,2429,1925,2901,4705,9600
2007-03-01,51,0,1740,2279,4466,3162,4702,7859,20624
2007-03-01,51,1,1520,1918,2931,2639,3583,4593,8416
2007-03-01,52,0,500,1083,2160,1598,2548,3934,10000
2007-03-01,52,1,608,1063,1777,1435,2069,3036,7590
2007-03-01,53,0,1021,1520,2182,2070,2550,3161,6600
2007-03-01,53,1,631,1318,1935,1909,2384,2939,5632
2007-03-01,55,0,607,1086,1692,1475,1886,2390,6732
2007-03-01,55,1,528,839,1399,1370,1707,2100,4219
2007-03-01,56,0,398,650,1151,1078,1449,1802,3550
2007-03-01,56,1,298,533,931,800,1235,1566,2817
2007-03-01,58,0,742,1185,3432,1891,3337,5824,22030
2007-03-01,58,1,600,1026,2139,1463,2357,3742,10000
2007-03-01,59,0,492,882,2304,1500,2794,4739,11557
2007-03-01,59,1,504,819,1848,1237,2190,3670,9806
2007-03-01,60,0,843,1454,3407,2327,3485,5888,17055
2007-03-01,60,1,680,1131,2516,1721,2664,4421,12490
2007-03-01,61,0,1061,1896,4195,3388,4494,6795,25514
2007-03-01,61,1,705,1192,2726,1998,3279,4629,14215
2007-03-01,62,0,870,1336,3330,2293,3821,6008,16464
2007-03-01,62,1,659,1164,2548,1792,3080,4906,10839
2007-03-01,63,0,780,1294,4191,2222,4016,6670,35079
