date,clae2,salary,dollar,dolarized_salary
2007-06-01,74,1847,3.1,596
2007-06-01,75,1292,3.1,417
2007-06-01,77,2217,3.1,715
2007-06-01,78,1445,3.1,466
2007-06-01,79,2419,3.1,780
2007-06-01,80,1725,3.1,556
2007-06-01,81,1068,3.1,345
2007-06-01,82,1866,3.1,602
2007-06-01,85,1664,3.1,537
2007-06-01,86,2367,3.1,764
2007-06-01,87,1842,3.1,594
2007-06-01,88,1774,3.1,572
2007-06-01,90,1709,3.1,551
2007-06-01,91,1828,3.1,590
2007-06-01,92,2289,3.1,738
2007-06-01,93,1614,3.1,521
2007-06-01,94,2185,3.1,705
2007-06-01,95,1722,3.1,555
2007-06-01,96,1448,3.1,467
2007-06-01,999,2892,3.1,933
2007-07-01,1,1089,3.14,347
2007-07-01,2,1135,3.14,361
2007-07-01,3,2378,3.14,757
2007-07-01,5,3995,3.14,1272
2007-07-01,6,6201,3.14,1975
2007-07-01,7,3605,3.14,1148
2007-07-01,8,2368,3.14,754
2007-07-01,9,3295,3.14,1049
2007-07-01,10,1707,3.14,544
2007-07-01,11,2290,3.14,729
2007-07-01,12,2327,3.14,741
2007-07-01,13,1525,3.14,486
2007-07-01,14,1305,3.14,416
2007-07-01,15,1475,3.14,470
2007-07-01,16,1669,3.14,532
2007-07-01,17,2117,3.14,674
2007-07-01,18,1752,3.14,558
2007-07-01,19,3002,3.14,956
2007-07-01,20,2598,3.14,827
2007-07-01,21,3067,3.14,977
2007-07-01,22,1939,3.14,618
2007-07-01,23,2034,3.14,648
2007-07-01,24,3207,3.14,1021
2007-07-01,25,1712,3.14,545
2007-07-01,26,2445,3.14,779
2007-07-01,27,1833,3.14,584
2007-07-01,28,1966,3.14,626
2007-07-01,29,2609,3.14,831
2007-07-01,30,2463,3.14,784
2007-07-01,31,1520,3.14,484
2007-07-01,32,1542,3.14,491
2007-07-01,33,2031,3.14,647
2007-07-01,35,3122,3.14,994
2007-07-01,36,2694,3.14,858
2007-07-01,37,1802,3.14,574
2007-07-01,38,2312,3.14,736
2007-07-01,39,1493,3.14,475
2007-07-01,41,1486,3.14,473
2007-07-01,42,2018,3.14,643
2007-07-01,43,1469,3.14,468
2007-07-01,45,1594,3.14,508
2007-07-01,46,1810,3.14,576
2007-07-01,47,1332,3.14,424
2007-07-01,49,1800,3.14,573
2007-07-01,50,2539,3.14,809
2007-07-01,51,3291,3.14,1048
2007-07-01,52,1979,3.14,630
2007-07-01,53,2362,3.14,752
2007-07-01,55,1474,3.14,469
2007-07-01,56,991,3.14,316
2007-07-01,58,2293,3.14,730
2007-07-01,59,1731,3.14,551
2007-07-01,60,2524,3.14,804
2007-07-01,61,2416,3.14,769
2007-07-01,62,2728,3.14,869
2007-07-01,63,2450,3.14,780
2007-07-01,64,2999,3.14,955
2007-07-01,65,2436,3.14,776
2007-07-01,66,1901,3.14,605
2007-07-01,68,1287,3.14,410
2007-07-01,69,1460,3.14,465
2007-07-01,70,1607,3.14,512
2007-07-01,71,1728,3.14,550
2007-07-01,72,2852,3.14,908
2007-07-01,73,1781,3.14,567
2007-07-01,74,1277,3.14,407
2007-07-01,75,925,3.14,295
2007-07-01,77,1625,3.14,518
2007-07-01,78,1191,3.14,379
2007-07-01,79,1771,3.14,564
2007-07-01,80,1355,3.14,432
2007-07-01,81,825,3.14,263
2007-07-01,82,1398,3.14,445
2007-07-01,85,1202,3.14,383
2007-07-01,86,1647,3.14,525
2007-07-01,87,1275,3.14,406
2007-07-01,88,1259,3.14,401
2007-07-01,90,1346,3.14,429
2007-07-01,91,1258,3.14,401
2007-07-01,92,1712,3.14,545
2007-07-01,93,1126,3.14,359
2007-07-01,94,1544,3.14,492
2007-07-01,95,1299,3.14,414
2007-07-01,96,1001,3.14,319
2007-07-01,999,2181,3.14,695
2007-08-01,1,1128,3.21,351
2007-08-01,2,1178,3.21,367
2007-08-01,3,2380,3.21,741
2007-08-01,5,3394,3.21,1057
2007-08-01,6,6494,3.21,2023
2007-08-01,7,3833,3.21,1194
2007-08-01,8,2281,3.21,711
2007-08-01,9,3976,3.21,1239
2007-08-01,10,1753,3.21,546
2007-08-01,11,2314,3.21,721
2007-08-01,12,2434,3.21,758
2007-08-01,13,1561,3.21,486
2007-08-01,14,1352,3.21,421
2007-08-01,15,1541,3.21,480
2007-08-01,16,1477,3.21,460
2007-08-01,17,2192,3.21,683
2007-08-01,18,1786,3.21,556
2007-08-01,19,3135,3.21,977
2007-08-01,20,2604,3.21,811
2007-08-01,21,3146,3.21,980
2007-08-01,22,1930,3.21,601
2007-08-01,23,2046,3.21,637
2007-08-01,24,3164,3.21,986
2007-08-01,25,1705,3.21,531
2007-08-01,26,2437,3.21,759
2007-08-01,27,1893,3.21,590
2007-08-01,28,2033,3.21,633
2007-08-01,29,2650,3.21,826
2007-08-01,30,2603,3.21,811
2007-08-01,31,1581,3.21,493
2007-08-01,32,1535,3.21,478
2007-08-01,33,2166,3.21,675
2007-08-01,35,3259,3.21,1015
2007-08-01,36,2737,3.21,853
2007-08-01,37,1825,3.21,569
2007-08-01,38,2411,3.21,751
2007-08-01,39,1026,3.21,320
2007-08-01,41,1505,3.21,469
2007-08-01,42,2058,3.21,641
2007-08-01,43,1529,3.21,476
2007-08-01,45,1640,3.21,511
2007-08-01,46,1806,3.21,563
2007-08-01,47,1331,3.21,415
2007-08-01,49,1799,3.21,560
2007-08-01,50,2589,3.21,807
2007-08-01,51,3007,3.21,937
2007-08-01,52,1978,3.21,616
2007-08-01,53,2341,3.21,729
2007-08-01,55,1620,3.21,505
2007-08-01,56,1061,3.21,331
2007-08-01,58,2497,3.21,778
2007-08-01,59,1790,3.21,558
2007-08-01,60,2488,3.21,775
2007-08-01,61,2571,3.21,801
2007-08-01,62,2628,3.21,819
2007-08-01,63,2497,3.21,778
2007-08-01,64,3293,3.21,1026
2007-08-01,65,2644,3.21,824
2007-08-01,66,1819,3.21,567
2007-08-01,68,1337,3.21,417
2007-08-01,69,1459,3.21,455
2007-08-01,70,1639,3.21,511
2007-08-01,71,1784,3.21,556
2007-08-01,72,3003,3.21,936
2007-08-01,73,1794,3.21,559
2007-08-01,74,1332,3.21,415
2007-08-01,75,933,3.21,291
2007-08-01,77,1622,3.21,505
2007-08-01,78,1179,3.21,367
2007-08-01,79,1757,3.21,547
2007-08-01,80,1373,3.21,428
2007-08-01,81,849,3.21,264
2007-08-01,82,1390,3.21,433
2007-08-01,85,1205,3.21,375
2007-08-01,86,1668,3.21,520
2007-08-01,87,1275,3.21,397
2007-08-01,88,1262,3.21,393
2007-08-01,90,1397,3.21,435
2007-08-01,91,1405,3.21,438
2007-08-01,92,1763,3.21,549
2007-08-01,93,1162,3.21,362
2007-08-01,94,1562,3.21,487
2007-08-01,95,1243,3.21,387
2007-08-01,96,1018,3.21,317
2007-08-01,999,2050,3.21,639
2007-09-01,1,1151,3.21,359
2007-09-01,2,1169,3.21,364
2007-09-01,3,2158,3.21,672
2007-09-01,5,4234,3.21,1319
2007-09-01,6,6918,3.21,2155
2007-09-01,7,3713,3.21,1157
2007-09-01,8,2395,3.21,746
2007-09-01,9,3926,3.21,1223
2007-09-01,10,1718,3.21,535
2007-09-01,11,2334,3.21,727
2007-09-01,12,2973,3.21,926
2007-09-01,13,1518,3.21,473
2007-09-01,14,1329,3.21,414
2007-09-01,15,1491,3.21,464
2007-09-01,16,1506,3.21,469
2007-09-01,17,2180,3.21,679
2007-09-01,18,1747,3.21,544
2007-09-01,19,3056,3.21,952
2007-09-01,20,2634,3.21,821
2007-09-01,21,3131,3.21,975
2007-09-01,22,1897,3.21,591
2007-09-01,23,2137,3.21,666
2007-09-01,24,4925,3.21,1534
2007-09-01,25,1685,3.21,525
2007-09-01,26,2410,3.21,751
2007-09-01,27,1921,3.21,598
2007-09-01,28,2065,3.21,643
2007-09-01,29,2599,3.21,810
2007-09-01,30,2442,3.21,761
2007-09-01,31,1653,3.21,515
2007-09-01,32,1557,3.21,485
2007-09-01,33,2152,3.21,670
2007-09-01,35,3307,3.21,1030
2007-09-01,36,2981,3.21,929
2007-09-01,37,1866,3.21,581
2007-09-01,38,2458,3.21,766
2007-09-01,39,1452,3.21,452
2007-09-01,41,1614,3.21,503
2007-09-01,42,2261,3.21,704
2007-09-01,43,1568,3.21,488
2007-09-01,45,1686,3.21,525
2007-09-01,46,1877,3.21,585
2007-09-01,47,1401,3.21,436
2007-09-01,49,1831,3.21,570
2007-09-01,50,2725,3.21,849
2007-09-01,51,3990,3.21,1243
2007-09-01,52,2030,3.21,632
2007-09-01,53,2340,3.21,729
2007-09-01,55,1568,3.21,488
2007-09-01,56,1050,3.21,327
2007-09-01,58,2292,3.21,714
2007-09-01,59,1860,3.21,579
2007-09-01,60,2437,3.21,759
2007-09-01,61,2919,3.21,909
2007-09-01,62,2907,3.21,906
2007-09-01,63,2469,3.21,769
2007-09-01,64,3304,3.21,1029
2007-09-01,65,2540,3.21,791
2007-09-01,66,1862,3.21,580
2007-09-01,68,1426,3.21,444
2007-09-01,69,1609,3.21,501
2007-09-01,70,1728,3.21,538
2007-09-01,71,2077,3.21,647
2007-09-01,72,3050,3.21,950
2007-09-01,73,1807,3.21,563
2007-09-01,74,1304,3.21,406
2007-09-01,75,994,3.21,310
2007-09-01,77,1663,3.21,518
2007-09-01,78,1121,3.21,349
2007-09-01,79,1862,3.21,580
2007-09-01,80,1333,3.21,415
2007-09-01,81,861,3.21,268
2007-09-01,82,1456,3.21,454
2007-09-01,85,1225,3.21,382
2007-09-01,86,1683,3.21,524
2007-09-01,87,1298,3.21,404
2007-09-01,88,1312,3.21,409
2007-09-01,90,1344,3.21,419
2007-09-01,91,1307,3.21,407
2007-09-01,92,1829,3.21,570
2007-09-01,93,1200,3.21,374
2007-09-01,94,1600,3.21,498
2007-09-01,95,1270,3.21,396
2007-09-01,96,1036,3.21,323
2007-09-01,999,2094,3.21,652
2007-10-01,1,1075,3.21,335
2007-10-01,2,1266,3.21,394
2007-10-01,3,2386,3.21,743
2007-10-01,5,3541,3.21,1103
